AD | AS6752 | Andorra Telecom
AE | AS205282 | TILDA PLATFORM CLOUD SERVICES CO. L.L.C
AE | AS205634 | Prime Formation GmbH
AE | AS205951 | Anwar Bahadar
AE | AS205988 | Playco Entertainment FZ LLC
AE | AS206042 | Suhail Haris
AE | AS206283 | YAHSAT FRANKFURT
AE | AS206771 | Dubai Gold and Commodities Exchange DMCC
AE | AS207418 | CLOUD HOST TECHNOLOGY LLC
AE | AS207655 | Day Telecom Company (ltd.)
AE | AS208006 | ARVANCLOUD GLOBAL TECHNOLOGIES L.L.C
AE | AS208278 | OMNICLOUDS COMPUTER SYSTEMS & COMMUNICATION EQUIPMENT SOFTWARE DESIGN LLC
AE | AS208428 | YAHSAT DUBAI
AE | AS208797 | MASHREQBANK PJSC
AE | AS208800 | G42 CLOUD TECHNOLOGY L.L.C.
AE | AS208922 | Abu Dhabi Commercial Bank PJS
AE | AS209173 | PetroChina International Iraq FZE
AE | AS209843 | LEONIX EVENTS SAS
AE | AS209995 | Network International LLC
AE | AS211112 | Qrator Technologies FZ-LLC
AE | AS211416 | Tawasal Information Technology LLC
AE | AS211603 | IDFAA PAYMENT SERVICES L.L.C
AE | AS212020 | AlTayer Group (L.L.C)
AE | AS212468 | MPB TRADING DMCC
AE | AS212651 | D-CONECT LLC
AE | AS212660 | WHG Hosting Services Ltd
AE | AS212741 | Emirates Aluminium Company Limited PJSC
AE | AS213176 | Check Point Software Technologies Ltd
AE | AS213622 | Falcon FZE LLC
AE | AS213931 | Alaitisal Computers and Requisites Trading LLC
AE | AS214455 | RETN Limited
AE | AS214965 | ServerWala InfraNet FZ-LLC
AE | AS215024 | Direct Cursus Technology LLC
AE | AS215441 | ITGLOBAL COM DMCC
AE | AS215878 | M1CLOUD INFORMATION TECHNOLOGY CONSULTANTS L.L.C
AE | AS395047 | Artix Networks LLC
AE | AS401960 | Dreamsync LLC
AF | AS17411 | Io Global Services Pvt. Limited
AF | AS38742 | Afghan Wireless Communication Company
AF | AS45178 | ROSHAN
AF | AS55330 | AFGHANTELECOM GOVERNMENT COMMUNICATION NETWORK
AF | AS55424 | Instatelecom Limited
AF | AS58427 | Global Entourage Services
AF | AS58469 | Ministry of Communication & IT
AF | AS58697 | G/38 Qala e Mosa Shaheed Square
AF | AS59317 | Afghan Cyber ISP
AF | AS59355 | AACL
AF | AS59381 | Vice Group
AF | AS131284 | Etisalat Afghan
AF | AS132104 | Fars Route Information Technology Services Company
AF | AS132173 | Streamlink Communications
AF | AS132222 | Sanzar F Kakar T/A Afghanistan Holding Group
AF | AS132471 | ATOMA
AF | AS133066 | Ariana Network Services Co
AF | AS133076 | Unique Atlantic Telecommunication
AF | AS133202 | AFSAT
AF | AS133533 | TRISTAR ISP
AF | AS133894 | Easy Connect- ISP
AF | AS134112 | Aria Sat LTD
AF | AS134134 | Western ICT Solutions Services
AF | AS135298 | Ankabut Internet Service Provider
AF | AS135376 | Rahanet Internet Service Provider
AF | AS136400 | Asia Consultancy Group
AF | AS136454 | Fiber-SAT ISP Ltd.
AF | AS136479 | Cyber Telecom ISP
AF | AS136774 | Fiber technology services
AF | AS136986 | Cyber Net ISP
AF | AS137039 | Zohak Technology (Z-Tech)
AF | AS137450 | Western ICT Solutions Services
AF | AS137475 | Shah Net Internet Services Provider
AF | AS137824 | View Net Technology
AF | AS137895 | Fast Net Telecom
AF | AS137975 | Stark Telecom
AF | AS138322 | Afghan Wireless Communication Company
AF | AS139651 | KAYANAT TECHNOLOGY INTERNET SERVICES CO
AF | AS139697 | Mikrogate ICT Services Company
AF | AS139770 | SADAT Telecom
AF | AS139885 | Fushanj Telecom ISP
AF | AS141224 | Fibernet Telecom
AF | AS141355 | Amoo Net Technology Services
AF | AS141447 | Sky Wave Technologies Internet Service
AF | AS142051 | HaqNet Technology Services
AF | AS142541 | Optix Wave Internet Services
AF | AS142570 | ARYAN DUNYA ICT
AF | AS149024 | Afghan Bawar ICT Services
AF | AS149173 | Hindukush Bridge ICT Services Company
AF | AS149771 | Hewad Aziz Services Company
AF | AS150155 | Speed Light ICT Services Company
AF | AS151062 | Matin Net
AF | AS151081 | ARYAN DUNYA ICT
AF | AS151329 | Tez Technology Services
AF | AS153323 | Power Bridge ICT Services
AF | AS153324 | Noori Wave ICT Services Company
AF | AS153394 | RED CLOUD INFORMATION TECHNOLOGY SERVICES COMPANY
AF | AS153557 | Shamal Telecome Company
AF | AS153711 | Lajward Hindukush Technology Service company
AF | AS153854 | Bright Wave ICT Services
AF | AS153975 | Kabul Supply Chain
AG | AS11594 | APUA
AG | AS19246 | Antigua Computer Technology Co. Ltd.
AG | AS31500 | Global Network Management Inc
AG | AS53312 | Sunvale Inc.
AG | AS396304 | Antigua Wireless ventures Ltd
AG | AS397529 | Pegasus Technologies Inc
AG | AS398228 | Antigua Wireless ventures Ltd
AG | AS399478 | St. John's Cooperative Credit Union Ltd
AI | AS2740 | Caribbean Cable Communications
AI | AS50118 | Caribbean Telecom S.A
AI | AS393410 | Davosys International BV
AL | AS5414 | Banka e Shqiperise
AL | AS5576 | Agjencia Kombetare Shoqerise se Informacionit
AL | AS6843 | Diginet shpk
AL | AS12783 | ENET Shpk
AL | AS21183 | Vodafone Albania Sh.A.
AL | AS29238 | Nisatel LTD
AL | AS31130 | RapidSpace
AL | AS33924 | Pronet sh.p.k.
AL | AS35047 | Abissnet sh.a.
AL | AS35444 | Digicom Albania
AL | AS38916 | FBD shpk
AL | AS39611 | Tibo Communications Sh.p.k
AL | AS41439 | MAXCOM sh.p.k.
AL | AS42313 | ONE ALBANIA SH.A.
AL | AS42409 | Autoriteti i Komunikimeve Elektronike dhe Postare - AKEP
AL | AS47394 | Albanian Satellite Communications sh.p.k.
AL | AS48014 | AlbHost SH.P.K.
AL | AS48265 | NSolution sh.p.k
AL | AS50616 | ONE ALBANIA SH.A.
AL | AS50973 | Vodafone Albania Sh.A.
AL | AS56468 | MC NETWORKING Sh.p.k.
AL | AS56782 | ALBANIA MARKETING SERVICE Ltd
AL | AS57070 | ITCOM Shpk
AL | AS57388 | I.B.C - Telecom Sh.p.k.
AL | AS57722 | N.SH.T ""ATI-KOS"" sh.p.k
AL | AS57961 | RASH - Rrjeti Akademik Shqiptar
AL | AS58166 | Credins Bank Sh.A.
AL | AS60304 | Starnet Sh.p.k.
AL | AS60352 | S E L C O M SHPK
AL | AS60471 | Mobitel sh.p.k.
AL | AS196838 | Albanian Satellite Communications sh.p.k.
AL | AS197167 | Euralb Ltd
AL | AS197362 | Fiks Networks SH.P.K.
AL | AS197445 | NSC Sh.p.k
AL | AS197706 | Keminet SHPK
AL | AS198279 | Albanian Telecommunications Union SH. P.K.
AL | AS198890 | Albanian Fiber Telecommunications SHPK
AL | AS199276 | Tele.Co.Albania SHPK
AL | AS201249 | IPRO Sh.p.k.
AL | AS201524 | Albania State Police
AL | AS201708 | RAIFFEISEN BANK SH.A
AL | AS201967 | Erlis Marku
AL | AS202080 | G net Sh.p.k
AL | AS202179 | Intercom Data Service sh.p.k
AL | AS202433 | Acenet sh.p.k.
AL | AS202558 | M.R.M shpk
AL | AS202710 | ABnet Sh.p.k
AL | AS203063 | INTESA SANPAOLO BANK ALBANIA PJSC
AL | AS204816 | VANI SHPK
AL | AS204894 | Ezmir Kraja trading as StyleNet
AL | AS205025 | Ilir Kurti
AL | AS205110 | NEXT-TV SHPK
AL | AS205140 | RASH - Rrjeti Akademik Shqiptar
AL | AS205244 | NEXT-TV SHPK
AL | AS205278 | NetCom ISP Sh.p.k.
AL | AS205832 | ULTRANET sh.p.k
AL | AS205923 | Optixcom sh.p.k.
AL | AS206088 | shqiponjaisp.al LLC
AL | AS206560 | Contrust Solutions S.R.L.
AL | AS207368 | Abissnet sh.a.
AL | AS207385 | Credins Bank Sh.A.
AL | AS207502 | SPEED LINE SHPK
AL | AS207567 | Intezio Worldwide Limited
AL | AS207876 | Roland Delia trading as NEWAVE
AL | AS209240 | ISA.NET Sh.p.k.
AL | AS209277 | APT CABLE SHPK
AL | AS209302 | Bujar Shimaj
AL | AS209442 | FASTNET ALBANIA Sh.p.k
AL | AS209465 | VIG SERVICES SHQIPERI Sh.p.k.
AL | AS209839 | Luva Group Sh.p.k.
AL | AS209868 | Contrust Solutions S.R.L.
AL | AS210003 | SKY ELBASAN sh.p.k
AL | AS210125 | PRIAM NET Sh.p.k.
AL | AS210693 | Kamenicanet sh.p.k
AL | AS211147 | INTERFIBER Sh.p.k
AL | AS211210 | KORABI-NET SHPK
AL | AS211356 | MyTv-Alb SH.P.K.
AL | AS211385 | NEXT-TV SHPK
AL | AS211458 | IH-NETWORK SHPK
AL | AS212637 | LightNet Sh.p.k.
AL | AS212752 | Business Strategic Solution SHPK
AL | AS212766 | NetSysCom sh.p.k
AL | AS212986 | MENOCOM Sh.p.k.
AL | AS213520 | Senko Digital LLC
AL | AS213612 | OTP Bank Albania Sh.A.
AL | AS213683 | Host.AL Shpk
AL | AS213900 | RS Computers L.L.C
AL | AS214469 | Click.al SHPK
AL | AS215025 | NET.COM SHPK
AL | AS215540 | GLOBAL CONNECTIVITY SOLUTIONS LLP
AL | AS215707 | iHost.AL
AL | AS215773 | TX RX SHPK
AL | AS215883 | FastLink SHPK
AL | AS215910 | Edma Net SHPK
AL | AS216046 | Tele.Co.Albania SHPK
AL | AS216280 | Banka Kombetare Tregtare Sh.A.
AL | AS216312 | Gezim Cerri
AL | AS216325 | NETWORKALBANIA Sh.p.k
AL | AS219527 | Benjamin Company LLC
AM | AS6682 | -=GNC Alfa=-
AM | AS8226 | Arpinet LLC
AM | AS8932 | Ucom CJSC
AM | AS12297 | Telecom Armenia AS
AM | AS16190 | LIR LLC
AM | AS21104 | Netsys JV LLC
AM | AS33852 | Viva Armenia CJSC
AM | AS34083 | Arpinet LLC
AM | AS34492 | MEDIA LIFE LLC
AM | AS39344 | SMAYL SISTEMS LLC
AM | AS39863 | Crossnet LLC
AM | AS42109 | Viva Armenia CJSC
AM | AS42688 | Armenian Card (ArCa) CJSC
AM | AS42991 | BioNet LLC
AM | AS43733 | Viva Armenia CJSC
AM | AS43845 | ConnectTTo World
AM | AS44153 | SHTE LLC
AM | AS44395 | Ucom CJSC
AM | AS44778 | Enterprise Incubator Foundation
AM | AS47623 | Institute for Informatics and Automation Problems of National Academy of Sciences of the Republic of Armenia
AM | AS48008 | Harmony Information Technologies and Education Development Fund
AM | AS48244 | HS Cloud LLC
AM | AS48406 | Siemens Industry Software Limited
AM | AS48675 | Diananet LLC
AM | AS48860 | Arm Telecom"" LLC
AM | AS48861 | Fnet LLC
AM | AS49800 | GNC-Alfa CJSC
AM | AS50250 | ARMECONOMBANK OJSC
AM | AS50496 | ARARATBANK OJSC
AM | AS50623 | Infotech LLC
AM | AS50635 | Skynet Telecom LLC
AM | AS51090 | Internet Society Public Organisation
AM | AS51225 | Armenian internet traffic exchange 'Armix' foundation
AM | AS51327 | RETN AM Limited Liability Company
AM | AS51342 | Hachn ISP LLC
AM | AS51354 | Internet Society Public Organisation
AM | AS51493 | National Ehealth Operator CJSC
AM | AS51693 | Supercom LLC
AM | AS52160 | VTB Armenia Bank CJSC
AM | AS56561 | Central Bank of the Republic of Armenia
AM | AS56974 | State Revenue Committee of the Republic of Armenia
AM | AS57162 | Ardshinbank
AM | AS57206 | Global Credit CJSC
AM | AS57491 | KIM-RAY Ltd.
AM | AS57849 | Flex Tech LLC
AM | AS197189 | TERMINAL PAHEST LLC
AM | AS197497 | OFFICE OF THE PRIME-MINISTER OF THE REPUBLIC OF ARMENIA STATE BODY
AM | AS197805 | Dzoraghbyur Complex LLC
AM | AS197834 | Ucom CJSC
AM | AS198265 | I-NET LLC
AM | AS198441 | Migtelecom LLC
AM | AS198767 | Antranik Wartanian
AM | AS199062 | SOFT CONSTRUCT CJSC
AM | AS199620 | Regionnet LLC
AM | AS199673 | AMWEB LLC
AM | AS199698 | Maxinet LLC
AM | AS200205 | Viva Armenia CJSC
AM | AS200896 | Arpinet LLC
AM | AS201063 | Ameriabank CJSC
AM | AS201219 | Mushegh Baghdasaryan
AM | AS201363 | YOURnet LLC
AM | AS201589 | EDGEAM LLC
AM | AS201639 | INECOBANK CJSC
AM | AS201884 | ISP SUPPORT LLC
AM | AS201921 | DIGITAIN LLC
AM | AS201986 | Arpinet LLC
AM | AS202515 | ID Bank CJSC
AM | AS202740 | IM ID CJSC
AM | AS204194 | South Caucasus Railway"" CJSC
AM | AS204241 | Byblos Armenian Bank CJSC
AM | AS204267 | Homenet"" LLC
AM | AS204620 | EVOCABANK CJSC
AM | AS205277 | Interlink LLC
AM | AS205293 | RAYONLINE LLC
AM | AS205368 | Fnet LLC
AM | AS205605 | ID Processing LLC
AM | AS206543 | Cabarco LLC
AM | AS206783 | HAYKAZ GHANDILYAN ANDRANIKI Private Entrepreneur
AM | AS207081 | Bargavachokh Tsantser LLC
AM | AS207400 | VXSOFT LLC
AM | AS207810 | Virus Net"" LLC
AM | AS207980 | TINS LLC
AM | AS207991 | ACHON LLC
AM | AS208081 | Fast Bank CJSC
AM | AS208339 | UTC LLC
AM | AS208526 | Nikita Mobile.Ltd
AM | AS208997 | INTERNET KOMUNIKATSION TSANTSER LLC
AM | AS209176 | EKENG CJSC
AM | AS209262 | GSLINE LLC
AM | AS209778 | Armcom LLC
AM | AS210131 | Novalink LLC
AM | AS210147 | ISP SUPPORT LLC
AM | AS210315 | Arpinet LLC
AM | AS210381 | AMIOBANK CJSC
AM | AS210520 | Armenian Branch of ""Synergy International Systems"" Joint-Stock Company Separated Subdivision
AM | AS211092 | Ucom CJSC
AM | AS211704 | CENTRAL ELECTORAL COMMISION OF THE REPUBLIC OF ARMENIA
AM | AS211944 | Narek Tadevosyan
AM | AS212183 | House Net LLC
AM | AS212505 | Volo LLC
AM | AS212749 | ACBA Bank OJSC
AM | AS212898 | Meganet HD LLC
AM | AS213827 | GetNet LLC
AM | AS214198 | NeoMetals LLC
AM | AS214287 | Converse Bank CJSC
AM | AS214869 | Yotta Network LLC
AM | AS214977 | Artsakhbank CJSC
AM | AS215416 | VIGEN PETROSYAN trading as SAMVELI
AM | AS215421 | LikeNet LLC
AM | AS215501 | Hingshabti LLC
AM | AS215644 | Crossnet LLC
AM | AS215719 | Unibank OJSC
AM | AS216058 | Proitlab LLC
AM | AS216086 | ART-NET LLC
AM | AS216165 | HYPERNET LLC
AM | AS216400 | FOR UNITY LLC
AO | AS10798 | The Standard Bank of South Africa (Proprietary) Limited
AO | AS11259 | Angola Telecom
AO | AS17400 | MSTelcom-Mercury Servicos de Telecomunicacoes
AO | AS32717 | SNET ANGOLA
AO | AS36881 | Multitel Servicos de Telecomunicacoes
AO | AS36907 | TV CABO ANGOLA LDA
AO | AS36917 | Angola Comunicacoes & Systems LDA
AO | AS36936 | Banco Angolano de Investimentos
AO | AS36976 | Sonangol
AO | AS37011 | Mundo Startel SA
AO | AS37036 | Banco de Fomento Angola
AO | AS37062 | BNI Banco de Negocios Internacional
AO | AS37081 | Movicel Telecomunicacoes S.A.
AO | AS37119 | UNITEL SA
AO | AS37147 | BancoBic
AO | AS37264 | DNS Angola
AO | AS37267 | Banco Caixa Geral Totta de Angola
AO | AS37272 | C. M. Corporation
AO | AS37318 | Banco Economico
AO | AS37366 | Banco National Angola (BNA)
AO | AS37384 | Banco Keve
AO | AS37468 | Angola Cables
AO | AS37590 | Banco Comercial Angolano
AO | AS37593 | Infrasat
AO | AS37645 | Finstar - Sociedade de Investimento e Participacoes S.A
AO | AS327691 | Banco Millennium Atlantico S.A.
AO | AS327775 | Ponto de Intercambio Internet Angola (Angola IXP)
AO | AS327801 | Banco Sol
AO | AS327806 | CENTRO NACIONAL DAS TECNOLOGIAS DE INFORMACAO
AO | AS327833 | Central 8 Limitada
AO | AS327918 | Associacao Escola Internacional de Luanda
AO | AS327932 | CONNECTIS-DATA ANGOLA LDA
AO | AS328111 | IP WORLD - Sociedade de servicos e telecomunicacoes Limitada
AO | AS328154 | NETSPACE -SERVICOS DE TELECOMUNICACOES
AO | AS328165 | Banco de Investimento Rural
AO | AS328211 | SETIC-FP
AO | AS328226 | INACOM
AO | AS328248 | Contidis
AO | AS328273 | BCS- Banco de Credito do Sul
AO | AS328283 | Banco de Poupança e Crédito S.A
AO | AS328509 | Speed Net Serviços
AO | AS328669 | BOLSA DE DÍVIDA E VALORES DE ANGOLA
AO | AS328718 | ANYCONNECT- Tecnologias e Telecomunicações S.A
AO | AS328792 | EMIS - Empresa Interbancaria de Serviços
AO | AS328877 | Banco Valor
AO | AS328893 | KWATTEL - SERVICOS DE PAGAMENTO
AO | AS328907 | OPCO - Sociedade Operacional Angola LNG
AO | AS328943 | Africell Angola S.A
AO | AS328979 | NEONET PRESTAÇÃO DE SERVIÇOS E TELECOMUNICAÇÕES
AO | AS329007 | ELENDE - TECNOLOGIAS DE INFORMACAO - COMERCIO E SERVICOS
AO | AS329011 | Múltipla - Sociedade Múltipla de Angola
AO | AS329065 | SOTENG- Tecnologia & Sistemas
AO | AS329108 | Lello & Companhia
AO | AS329194 | Banco De Comercio e Industria  S.A.
AO | AS329209 | Banco YETU S.A.
AO | AS329210 | HSAMS - Soluções Tecnológicas
AO | AS329286 | Kwendanet Tecnologias e Serviços
AO | AS329330 | Sociedade Mineira de Catoca
AO | AS329370 | ESPAÇONET - TELECOMUNICAÇOES
AO | AS329506 | MSBYTE-SOLUTION
AO | AS329536 | ACEL DIGITAL - TECNOLOGIA E SERVIÇOS
AO | AS329564 | Agencia Nacional de Pertoleo
AO | AS329589 | SELENIUM - DIGITAL SOLUTIONS
AO | AS329631 | YETOCOM-COMÉRCIO E PRESTAÇÃO DE SERVIÇOS
AO | AS329686 | Ramos Network Prestação de Serviços Lda
AO | AS329695 | ZON-DATA ANGOLA - COMERCIO E PRESTACAO DE SERVIÇOS
AQ | AS13696 | NetFuture Technology LLC
AQ | AS44354 | BROCK VOJKOVIC
AQ | AS47689 | Pudu
AQ | AS50755 | Svens Jansons
AQ | AS151187 | Shen Jiale
AQ | AS200078 | Potat0 Network
AQ | AS204374 | Leonardo de Souza Rodrigues
AQ | AS207968 | Raphael Romeo Peters
AQ | AS211575 | RuiNetwork
AQ | AS212271 | Cinzia Tocci trading as Lumanex Srl
AQ | AS214757 | Jakub Krsa
AQ | AS215764 | v4Guard
AQ | AS396993 | Soraxus Networks Inc.
AQ | AS397658 | Hop179 LLC
AQ | AS402247 | flew llc
AR | AS676 | United Nations Development Programme
AR | AS3449 | Universidad Nacional de Buenos Aires
AR | AS3597 | Fundación InnovaT
AR | AS4270 | Red de Interconexion Universitaria
AR | AS4387 | Secretaria de Ciencia y Tecnologia - Red Cientific
AR | AS4926 | Telefonica de Argentina
AR | AS5692 | Universidad Nacional de La Plata
AR | AS6121 | Ministerio de Justicia de la Nacion Argentina
AR | AS6762 | TELECOM ITALIA SPARKLE S.p.A.
AR | AS7005 | InterServer SA
AR | AS7049 | Silica Networks Argentina S.A.
AR | AS7303 | Telecom Argentina S.A.
AR | AS7340 | TELETEL
AR | AS7417 | Ministry of Economy
AR | AS7908 | SENCINET LATAM ARGENTINA SA
AR | AS10277 | Ministerio de Cultura y Educacion
AR | AS10452 | FritzWare S.R.L.
AR | AS10617 | SION S.A
AR | AS10671 | Comision Nacional de Actividades Espaciales
AR | AS10697 | INTERLINK SA
AR | AS10834 | Telefonica de Argentina
AR | AS10964 | Banco Credicoop Cooperativo Limitado
AR | AS11014 | CPS
AR | AS11193 | COMNET S.A.
AR | AS11271 | SENCINET LATAM BRASIL LTDA
AR | AS11311 | Sinectis S.A.
AR | AS11392 | Nosis Laboratorio de Investigación y Desarrollo S.A.
AR | AS11514 | Transdatos
AR | AS11571 | LA NACION
AR | AS11664 | Techtel LMDS Comunicaciones Interactivas S.A.
AR | AS11750 | Interdotnet Argentina S.A.
AR | AS11815 | Cooperativa Telefonica de V.G.G. Ltda.
AR | AS12150 | COTELCAM
AR | AS12956 | TELXIUS Cable
AR | AS13316 | SES Sistemas Electrónicos S.A.
AR | AS13474 | Banco de Galicia y Buenos Aires
AR | AS13585 | Power VT S.A.
AR | AS14232 | Cooperativa Telefónica Pinamar Ltda.
AR | AS14339 | SADESA S.A.
AR | AS14845 | Universidad Nacional del Sur
AR | AS15034 | TIBA S.A.
AR | AS16701 | AGENCIA DE RECAUDACIÓN Y CONTROL ADUANERO (ARCA)
AR | AS16732 | VELOCOM
AR | AS16814 | NSS S.A.
AR | AS17069 | Coop Telefonica Villa Gesell Ltda
AR | AS18747 | IFX Corporation
AR | AS19315 | Banelco S.A.
AR | AS19889 | Cooperativa Telefonica Del Viso
AR | AS20207 | Gigared S.A.
AR | AS20305 | Banco Rio de la Plata S.A.
AR | AS20321 | Alternativa Gratis
AR | AS21756 | SIDERCA S.A.I.C.
AR | AS22080 | Broadbandtech S. A.
AR | AS22501 | Cooperativa Telefonica Carlos Tejedor Ltda.
AR | AS22678 | OSDE
AR | AS22699 | First Data Conosur S.A.
AR | AS22798 | RED LINK S.A.
AR | AS22927 | Telefonica de Argentina
AR | AS26593 | Telespazio Argentina
AR | AS26594 | Pampa Energía S.A.
AR | AS26621 | FEROGLIO JULIA ELENA
AR | AS27655 | YPF S.A.
AR | AS27674 | SERVICIO METEOROLOGICO NACIONAL
AR | AS27691 | Velconet SA
AR | AS27692 | GIRE S.A.
AR | AS27711 | Transportadora de Gas del Norte S.A.
AR | AS27730 | BBVA Banco Frances SA
AR | AS27744 | Tecoar SA
AR | AS27747 | Telecentro S.A.
AR | AS27751 | Neunet S.A.
AR | AS27754 | Cooperativa Batan de Obras y Serv. Publicos Ltda
AR | AS27756 | Servicio Satelital S.A.
AR | AS27770 | Universidad Nacional de Rio Cuarto
AR | AS27779 | Darcom S.A.
AR | AS27787 | LOS AMORES S.A.
AR | AS27790 | Universidad Nacional de Cordoba
AR | AS27792 | Wiltel Comunicaciones SA
AR | AS27797 | KYNDRYL ARGENTINA SRL
AR | AS27813 | Teledifusora S.A.
AR | AS27818 | Cotesma
AR | AS27823 | Dattatec.com
AR | AS27826 | Omnivision Argentina
AR | AS27827 | LARRAURI GUALBERTO JOSE
AR | AS27830 | PAN AMERICAN ENERGY
AR | AS27833 | BVNET S.A.
AR | AS27851 | COOPERATIVA ELECTRICA Y DE SERVICIOS PUBLICOS LUJANENSE LIMITADA
AR | AS27865 | Tecnologia WorkOut S.A.
AR | AS27870 | FABRONI CLAUDIO ANTONIO
AR | AS27875 | Universidad Nacional de Cuyo
AR | AS27877 | Coop. Telefonica de Capitán Bermúdez
AR | AS27879 | Informática y Telecomunicaciones S.A.
AR | AS27881 | IPNEXT S.A.
AR | AS27883 | Universidad Tecnologica Nacional
AR | AS27894 | PODER JUDICIAL DE MENDOZA
AR | AS27898 | Redynet SRL
AR | AS27907 | Neoris Argentina S.A
AR | AS27926 | NETPATAGONIA SAS
AR | AS27927 | Coop. Popular de Elec.
AR | AS27934 | JSNet S.A.
AR | AS27935 | Cooperativa de provicion de servicios telefonicos La Lonja Ltda
AR | AS27940 | Cooperativa Colonia Caroya
AR | AS27949 | ANSES - Administración Nacional de la Seguridad Social
AR | AS27950 | Cooperativa Telefonica Benavidez Ltda
AR | AS27953 | NODOSUD S.A
AR | AS27955 | Cooperativa de Provisión de Servicios Publicos de Tortuguitas
AR | AS27960 | Coop. de Obras y Serv. Pub. Ltda. de Rio Tercero
AR | AS27961 | Jefatura de Gabinete de Ministros
AR | AS27964 | RSO APOLO HIDALGO S.R.L.
AR | AS27967 | Gobernacion de la Provincia de Buenos Aires
AR | AS27969 | BairesWeb
AR | AS27971 | Alberto Oscar Genovese
AR | AS27976 | Coop. de Servicios Públicos de Morteros Ltda.
AR | AS27981 | Universidad Nacional de Mar del Plata
AR | AS27983 | Red Intercable Digital S.A.
AR | AS27984 | Ver Tv S.A.
AR | AS27987 | NODOCOOP Federación de Cooperativas Ltda.
